Cluster Name	R☉ [kpc]  Distance from Sun	Mass [M☉]  rh.m [pc]   estimate mean mass [M☉]	c_according_Cox c_calc_(log(rt/rc))
2MASS-GC01 	3.37 	4.1d4 	5.98 	0.43	null	2.23
2MASS-GC02 	5.50 	1.6d4 	2.85 	0.35	null	1.40
AM_1 	118.91 	1.96d4 	20.32 	0.74	1.23	1.58
AM_4 	29.01 	7.46d2 	11.29 	0.71	0.50	1.13
Arp_2 	28.73 	3.87d4 	19.34 	0.62	0.90	1.02
BH_140 	4.81 	6.12d4 	9.73 	0.45	null	1.03
BH_261_(AL-3) 	6.12 	2.38d4 	4.45 	0.64	null	1.76
Crater 	147.23 	1.21d4 	27.62 	0.81	null	1.26
Djor_1 	9.88 	8.43d4 	5.62 	0.67	1.50	1.50
Djor_2_(ESO-456-SC38)	8.76 	1.34d5 	6.48 	0.69	1.50	1.07
E_3 	7.88 	2.56d3 	5.51 	0.57	0.75	1.20
Eridanus 	84.68 	9.29d3 	18.83 	0.71	1.10	1.23
ESO_280-SC06 	20.95 	4.01d4 	9.69 	0.43	null	1.49
ESO_452-SC11 	7.39 	7.32d3 	3.26 	0.35	null	1.22
FSR_1716 	7.43 	5.66d4 	5.26 	0.43	null	1.28
FSR_1735 	9.08 	9.98d4 	2.69 	0.72	null	1.83
FSR_1758 	11.09 	4.91d5 	16.23 	0.61	null	1.04
Gran_1_(ESO-456-SC29) 	8.27 	2.6d4 	7.79 	0.41	null	1.14
Gran_2 	15.84 	4.2d4 	12.29 	0.46	null	1.29
Gran_3_(Patchick-125) 	11.47 	3.5d4 	10.09 	0.45	null	0.91
Gran_5 	4.91 	2.29d4 	2.20 	0.35	null	1.70
HP_1 	7.00 	1.37d5 	4.19 	0.64	2.50	1.27
IC_1257 	26.59	1.8d4	5.53 	0.39	null	1.78
IC_1276 	4.55 	7.43d4 	4.98 	0.44	1.29	1.64
IC_4499 	18.89 	1.50d5 	14.96 	0.6	1.11	1.34
Laevens_3 	61.77 	2.7d3 	9.85 	0.43	null	1.37
Liller_1 	8.06 	1.01d6 	2.42 	0.38	2.30	2.33
Lynga_7 	7.90 	6.75d4 	4.97 	0.55	null	1.46
NGC_0104_(47-Tuc) 	4.52 	8.53d5 	6.44 	0.58	2.04	2.31
NGC_0288 	8.99 	9.62d4 	8.56 	0.56	0.96	1.43
NGC_0362 	8.83 	2.52d5 	3.36 	0.58	1.94	2.31
