# Namecluster  #radius(arcsec) #velrms(km/s)	
2MASS-GC02 		
 	66.16 	6.69 
 	0       0
 	
Arp_2
	48.57 	1.97 
 	129.82 	1.33
 	0       0
 	 
BH_140  		
	86.91 	2.23 
	190.50 	1.96 
	298.53 	1.98 
 	337.76 	1.41 
 	0       0
 	
BH_261_(AL-3) 		
 	40.25 	2.99 
 	0       0
 	
Crater 		
 	21.36 	1.96 
 	0       0
 	
Djor_1 		
	37.89 	2.91 
	41.42 	5.05 
 	52.16 	3.28
 	0       0
 	 
Djor_2_(ESO-456-SC38)	
	55.96 	2.91 
 	81.91 	2.79 
 	0       0
 	
E_3 		
	80.97 	1.02 
 	108.25 	0.96
 	0       0
 	 
ESO_280-SC06  		
 	54.87 	1.70 
 	0       0
 	
ESO_452-SC11 		
	39.58 	1.38 
 	50.93 	1.16 
 	0       0
 	
FSR_1716 		
	79.75 	3.16 
 	82.00 	1.99
 	0       0
 	 
FSR_1758 		
	119.97 	5.04 
	152.95 	3.62 
	276.36 	4.47 
 	392.75 	2.72
 	0       0
 	 
Gran_3_(Patchick-125) 		
 	91.48 	3.88
 	0       0
 	
Gran_5 		
	10.00 	3.68 
 	28.01 	2.87
 	0       0
 	 
HP_1 		
	40.02 	5.57 
	67.77 	4.90 
 	128.83 	3.59
 	0       0
 	 
IC_1276 		
	56.25 	3.49 
	103.26 	2.83 
	124.24 	3.25 
 	256.84 	2.55
 	0       0
 	 
IC_4499 		
	67.51 	2.58 
	80.73 	2.54 
	176.24 	2.47 
 	242.98 	1.95
 	0       0
 	 
Laevens_3 		
 	22.47 	0.70
 	0	0
 	 
Liller_1 		
	13.07 	20.02 
	24.14 	17.43 
	44.80 	16.26 
 	100.61 	12.61 
 	0       0
 	
Lynga_7 		
	56.69 	3.44 
	117.73 	2.81 
 	120.88 	3.06 
 	0	0
 	
NGC_0104_(47-Tuc)		
	6.45 	11.54 
	8.02 	14.14 
	11.67 	12.57 
	16.61 	12.52 
	21.42 	11.61 
	22.70 	12.75 
	25.61 	11.23 
	26.65 	12.02 
	30.15 	12.67 
	30.99 	11.19 
	33.89 	12.19 
	37.17 	11.68 
	37.41 	11.72 
	40.99 	12.15 
	42.75 	11.06 
	44.54 	12.02 
	47.91 	11.64 
	48.13 	12.11 
	51.74 	11.57 
	53.01 	11.20 
	55.60 	11.89 
	58.69 	11.02 
	59.19 	11.36 
	62.97 	11.79 
	65.22 	10.81 
	66.92 	11.89 
	70.62 	11.74 
	74.41 	11.14 
	74.91 	11.64 
	79.12 	11.40 
	79.14 	10.66 
	82.17 	11.00 
	83.76 	11.53 
	85.38 	10.25 
	88.94 	11.19 
	94.50 	11.38 
	100.00 	10.97 
	106.31 	10.69 
	109.85 	9.38 
	113.47 	10.48 
	121.58 	10.42 
	130.10 	10.33 
	140.63 	10.18 
	151.14 	9.54 
	158.59 	9.86 
	174.75 	9.14 
	194.71 	9.05 
	223.74 	8.62 
	244.11 	8.19 
	263.81 	8.26 
	292.48 	8.62 
	298.44 	8.08 
	329.37 	7.73 
	334.58 	8.12 
	356.93 	7.82 
	377.02 	8.01 
	383.70 	7.07 
	410.27 	7.48 
	422.41 	7.74 
	435.65 	7.49 
	459.74 	7.05 
	467.44 	7.29 
	486.26 	7.26 
	512.59 	6.69 
	517.71 	7.34 
	542.26 	6.79 
	571.44 	6.77 
	573.74 	6.29 
	601.09 	6.26 
	632.46 	6.23 
	642.08 	6.61 
	665.91 	6.20 
	703.64 	5.79 
	726.12 	5.59 
	746.39 	5.86 
	796.54 	5.91 
	831.35 	5.44 
	851.91 	5.73 
	919.44 	5.20 
	971.75 	5.16 
	991.01 	5.26 
	1076.29 5.20 
	1137.84 4.89 
	1180.70 4.24 
	1421.25 3.81 
 	1705.71 3.87 
 	0	0
 	
NGC_0288 	
	13.89 	3.15 
	32.00 	2.90 
	48.90 	2.90 
	49.25 	2.86 
	54.84 	3.75 
	67.04 	2.68 
	80.80 	2.90 
	94.10 	2.65 
	108.61 	3.22 
	137.21 	2.74 
	158.33 	2.63 
	188.51 	2.49 
	212.86 	1.76 
	246.57 	2.57 
	292.71 	2.61 
	350.01 	1.88 
	442.62 	2.10 
 	639.10 	1.45
 	0	0
 	 
NGC_0362 		
	6.30 	7.49 
	7.12 	8.25 
	12.31 	8.16 
	12.92 	7.96 
	16.10 	7.70 
	17.54 	7.46 
	19.56 	7.74 
	21.48 	7.65 
	22.64 	7.87 
	25.86 	7.87 
	26.19 	7.22 
	29.07 	8.04 
	30.75 	7.65 
	32.34 	7.28 
	35.68 	7.49 
	35.97 	6.73 
	39.10 	7.28 
	42.11 	7.05 
	43.12 	7.45 
	47.11 	7.58 
	48.78 	6.31 
	51.87 	6.99 
	55.45 	7.31 
	56.62 	6.95 
	59.16 	6.34 
	61.94 	6.74 
	66.94 	6.57 
	72.89 	6.70 
	79.08 	6.99 
	80.20 	6.79 
	90.80 	6.03 
	95.50 	6.89 
	127.51 	6.30 
	136.58 	5.92 
	177.21 	4.84 
	197.69 	5.11 
	231.35 	4.16 
	304.85 	3.52 
	326.55 	3.71 
 	518.44 	3.29 
 	0	0
 	
NGC_1261 		
	3.11 	5.83 
	7.83 	5.68 
	12.07 	5.52 
	15.38 	4.50 
	15.85 	5.52 
	18.63 	4.82 
	21.85 	4.90 
	24.74 	5.21 
	27.56 	5.13 
	30.96 	4.90 
	34.54 	4.82 
	38.15 	4.98 
	42.02 	4.90 
	42.34 	3.79 
	46.50 	4.51 
	50.73 	4.35 
	56.41 	4.12 
	62.03 	4.20 
	68.36 	4.35 
	68.68 	3.96 
	75.68 	4.12 
	85.08 	4.04 
	93.22 	3.83 
	99.66 	3.58 
	100.00 	4.50 
	136.58 	3.29 
	213.83 	2.71 
	284.10 	2.87 
 	445.77 	2.25 
 	0	0
 	
NGC_1851 		
	4.35 	10.48 
	8.26 	9.86 
	9.43 	10.21 
	11.08 	9.11 
	12.34 	9.01 
	12.70 	8.37 
	15.73 	8.55 
	16.11 	8.11 
	18.41 	8.61 
	20.10 	8.12 
	21.54 	8.50 
	23.85 	7.61 
	24.72 	8.04 
	27.60 	8.04 
	28.23 	7.76 
	30.91 	7.23 
	31.53 	7.53 
	34.06 	7.45 
	34.87 	7.19 
	37.28 	7.49 
	38.35 	7.70 
	40.50 	7.25 
	41.86 	7.14 
	43.62 	6.47 
	46.08 	7.14 
	46.90 	6.92 
	50.12 	6.74 
	50.31 	7.21 
	54.45 	6.46 
	54.47 	6.94 
	59.55 	6.80 
	65.90 	6.56 
	66.38 	6.40 
	73.01 	6.18 
	81.33 	6.01 
	89.90 	5.72 
	89.95 	6.02 
	113.17 	5.36 
	128.27 	6.22 
	158.66 	5.08 
	164.00 	4.30 
	208.56 	4.15 
	218.72 	4.17 
	305.71 	3.49 
	309.04 	3.73 
	520.58 	2.42 
	535.07 	2.88 
 	1283.92 2.35
 	0	0
 	 
NGC_1904_(M-79)		
	0.65 	8.70 
	1.82 	8.00 
	3.29 	6.89 
	4.07 	8.25 
	6.53 	5.17 
	8.90 	5.42 
	10.72 	6.60 
	13.58 	5.51 
	20.27 	5.88 
	26.99 	5.71 
	29.42 	6.29 
	33.82 	4.57 
	41.24 	4.92 
	50.97 	5.24 
	52.32 	5.78 
	78.48 	5.17 
	105.43 	3.83 
	108.43 	5.14 
	148.07 	3.62 
	179.58 	2.62 
	232.15 	2.52 
	240.04 	3.52 
 	480.85 	2.50
 	0       0
 	 
NGC_2298 		
	6.01 	3.96 
	14.39 	3.59 
	23.12 	3.52 
	25.63 	3.49 
	37.32 	3.45 
	53.71 	3.03 
	61.70 	3.04 
	86.71 	2.75 
	101.86 	2.92 
	122.11 	2.31 
 	196.89 	1.58 
 	0	0
 	
NGC_2419 		
	38.20 	5.51 
	99.96 	2.63 
 	213.57 	1.64 
 	0	0
 	
NGC_2808 		
	3.48 	14.78 
	5.78 	13.33 
	7.89 	13.59 
	11.05 	12.59 
	13.02 	13.21 
	16.72 	12.39 
	17.74 	13.45 
	22.48 	13.38 
	23.50 	13.11 
	28.19 	12.71 
	29.16 	12.69 
	33.39 	12.40 
	33.44 	13.16 
	37.19 	12.45 
	38.91 	12.44 
	40.67 	11.83 
	43.88 	12.21 
	43.92 	11.17 
	46.50 	11.73 
	48.74 	12.16 
	49.49 	11.59 
	52.58 	11.83 
	54.63 	11.86 
	55.59 	11.21 
	58.67 	11.11 
	61.82 	11.06 
	65.21 	11.16 
	65.49 	10.87 
	68.50 	10.68 
	72.13 	11.02 
	76.24 	10.25 
	80.71 	9.87 
	85.54 	10.11 
	91.46 	9.59 
	96.21 	9.42 
	101.55 	9.06 
	142.52 	8.48 
	151.02 	8.38 
	189.20 	7.55 
	204.88 	7.75 
	226.31 	8.06 
	262.53 	6.68 
	272.93 	7.81 
	339.21 	6.82 
	363.86 	5.69 
	491.25 	5.32 
 	526.80 	4.59 
 	0	0
 	
NGC_3201 		
	9.22 	4.53 
	14.96 	4.15 
	16.81 	4.38 
	23.71 	4.32 
	30.92 	4.24 
	32.65 	4.11 
	37.42 	4.25 
	43.40 	4.23 
	47.92 	4.04 
	48.97 	4.26 
	53.35 	4.37 
	54.80 	4.55 
	63.61 	4.18 
	72.95 	4.13 
	78.87 	3.86 
	97.62 	4.49 
	98.33 	4.34 
	132.94 	4.17 
	149.37 	4.36 
	165.89 	4.08 
	202.09 	3.96 
	211.74 	3.80 
	244.33 	3.55 
	286.48 	3.31 
	288.03 	3.09 
	340.71 	3.04 
	378.91 	3.29 
	400.33 	2.93 
	475.08 	2.97 
	479.09 	3.08 
	563.06 	2.95 
	612.25 	2.70 
	672.70 	2.95 
	784.96 	2.32 
	896.91 	2.66 
	1013.85 2.16 
	1356.85 2.29 
 	1976.14 2.35 
 	0	0
 	
NGC_4147 		
	41.05 	2.08 
 	174.98 	1.46 
 	0	0
 	
NGC_4372 		
	81.37 	4.57 
	108.06 	3.86 
	154.55 	3.77 
	207.07 	3.71 
	232.22 	3.72 
	329.17 	3.40 
	351.32 	3.32 
	488.29 	3.03 
 	521.23 	2.66
 	0	0
 	 
NGC_4590_(M-68)		
	13.59 	3.75 
	29.15 	3.80 
	44.45 	3.55 
	47.19 	3.50 
	58.02 	3.75 
	75.99 	3.26 
	92.39 	3.21 
	125.97 	2.82 
	173.76 	2.34 
	240.14 	2.35 
	332.94 	1.74 
 	534.44 	1.89 
 	0	0
 	
NGC_4833 		
	7.18 	6.48 
	15.52 	5.93 
	24.26 	5.93 
	27.33 	6.04 
	32.02 	6.11 
	39.51 	5.93 
	47.10 	5.96 
	53.68 	5.38 
	60.64 	5.50 
	67.20 	5.34 
	74.43 	5.07 
	81.37 	5.25 
	83.24 	5.10 
	91.19 	5.47 
	120.78 	5.16 
	131.88 	3.79 
	172.26 	4.75 
	192.37 	3.38 
	214.63 	4.49 
	275.76 	3.47 
	324.07 	3.56 
 	360.73 	3.28
 	0	0
 	 
NGC_5024_(M-53)  		
	7.58 	7.28 
	14.70 	6.66 
	20.73 	6.93 
	25.37 	6.49 
	30.20 	6.93 
	34.65 	6.40 
	38.05 	6.66 
	42.42 	6.31 
	43.30 	5.73 
	46.26 	6.05 
	50.41 	6.66 
	55.04 	5.88 
	59.98 	5.61 
	64.97 	5.61 
	70.87 	5.79 
	71.21 	5.98 
	78.79 	5.96 
	88.13 	5.44 
	98.46 	5.17 
	100.79 	5.26 
	107.05 	5.21 
	117.70 	4.06 
	124.39 	5.16 
	216.19 	3.46 
	228.54 	3.79 
	328.41 	3.81 
	384.43 	2.72 
 	614.24 	2.24 
 	0	0
 	
NGC_5053 		
	58.77 	2.19 
	118.92 	1.47 
 	307.27 	1.12 
 	0	0
 	
NGC_5139_(omega-Cen) 		
	2.28 	18.40 
	3.90 	22.82 
	4.33 	20.78 
	6.02 	23.66 
	7.10 	18.23 
	7.87 	21.08 
	9.47 	20.90 
	11.40 	17.57 
	12.40 	20.43 
	16.13 	20.78 
	18.20 	18.22 
	18.78 	19.67 
	28.80 	18.41 
	29.91 	19.25 
	40.23 	19.54 
	43.94 	18.97 
	45.40 	17.98 
	54.51 	18.63 
	63.38 	18.28 
	68.90 	18.09 
	71.50 	18.50 
	76.20 	17.65 
	78.80 	18.19 
	85.65 	17.88 
	92.19 	17.55 
	98.41 	17.70 
	100.22 	15.97 
	104.18 	17.47 
	109.72 	16.70 
	110.90 	16.61 
	115.15 	17.31 
	120.67 	17.08 
	121.02 	15.07 
	125.90 	16.95 
	131.32 	16.81 
	136.88 	16.55 
	137.77 	15.14 
	142.98 	16.38 
	150.20 	16.11 
	150.50 	16.40 
	156.41 	15.14 
	162.18 	16.08 
	177.90 	14.85 
	204.99 	14.25 
	228.86 	14.81 
	234.30 	14.32 
	236.84 	15.62 
	262.10 	12.88 
	273.98 	13.99 
	289.06 	14.02 
	311.98 	13.75 
	318.30 	12.53 
	344.67 	13.71 
	351.90 	13.26 
	378.47 	11.98 
	393.38 	11.49 
	409.93 	12.38 
	437.87 	11.96 
	440.61 	12.48 
	465.67 	12.40 
	491.58 	11.81 
	496.41 	12.58 
	529.88 	11.41 
	549.46 	11.29 
	564.21 	11.36 
	602.90 	11.02 
	614.34 	10.66 
	641.98 	11.05 
	685.55 	10.55 
	698.61 	9.88 
	733.17 	10.35 
	777.68 	9.09 
	804.83 	9.88 
	824.21 	9.23 
	885.95 	9.54 
	938.01 	9.41 
	1126.12 8.35 
	1173.57 8.04 
	1747.28 7.42 
 	1773.66 6.13
 	0	0
 	 
NGC_5272_(M-3) 		
	6.82 	8.30 
	12.86 	7.26 
	13.97 	8.10 
	19.71 	7.77 
	24.77 	7.72 
	28.75 	7.52 
	32.78 	7.77 
	37.10 	7.48 
	39.55 	8.30 
	41.07 	7.24 
	44.80 	7.14 
	48.87 	7.72 
	52.92 	7.14 
	56.60 	7.24 
	61.15 	6.85 
	65.79 	6.99 
	70.89 	6.22 
	71.75 	7.28 
	77.63 	6.61 
	89.71 	6.66 
	103.24 	6.32 
	122.98 	5.52 
	141.58 	5.44 
	165.13 	4.56 
	185.91 	4.68 
	205.56 	4.97 
	250.96 	4.29 
	265.07 	4.44 
	337.43 	4.92 
	339.36 	3.83 
